Term;Stemmed;Variations;Getting started with Haskell and GHCi;Basic types and definitions;Designing and writing programs;Data types, tuples and lists;Programming with lists;Defining functions over lists;Playing the game: I/O in Haskell;Reasoning about programs;Generalization: patterns of computation;Higher-order functions;Developing higher-order programs;Overloading, type classes and type checking;Algebraic types;Case study: Huffman codes;Abstract data types;Lazy programming;Programming with monads;Domain-Specific Languages;Time and space behaviour
reserved word;reserved word;reserved words, reserved word;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
record;record;records, record;1;0;0;6;0;0;0;0;0;0;0;0;3;0;2;0;1;0;0
System.Random;System.Random;System.Random;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
limit;limit;limit;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;1;1
infinite list;infinite list;infinite lists, infinite list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;45;0;0;3
error;error;errors, error;27;14;8;7;1;2;0;4;1;4;1;22;43;0;6;3;6;3;1
standard prelude;standard prelude;standard prelude;6;1;0;1;1;0;4;1;0;1;1;4;0;0;0;3;0;0;0
export;export;export;1;0;0;0;3;0;0;0;0;0;0;0;0;12;5;0;0;0;0
HCode;hcode;HCode;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
zipwith;zipwith;zipwith;0;0;0;0;1;0;0;0;8;0;3;0;0;0;0;7;0;0;0
proof;proof;proof;0;0;4;0;0;0;0;86;1;23;1;0;16;2;2;13;0;0;0
debugging;debugging;debugging;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;1
program error;program error;program error;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
first-class citizen;first-class citizen;first-class citizens, first-class citizen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
process;process;processes, process;0;0;1;0;1;0;0;3;1;0;0;3;3;5;4;21;0;3;2
calculator;calculator;calculator;0;1;0;1;0;0;0;0;0;0;1;0;5;0;7;5;15;4;0
syntax error;syntax error;syntax error;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
argument;argument;argument;1;29;7;11;7;17;4;4;15;78;10;26;12;5;9;33;7;2;20
generalization;generalization;generalization;0;0;0;0;0;0;0;2;7;1;2;0;0;0;1;0;0;0;0
parse;parse;parse;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;14;6;2;0
